hood_id,crime,year,rate
172,assault,2020,542.7310181
172,assault,2021,734.3318481
172,assault,2022,688.9549561
172,assault,2023,751.6080322
172,autotheft,2014,58.85815048
172,autotheft,2015,74.06310272
172,autotheft,2016,133.8488922
172,autotheft,2017,81.20478058
172,autotheft,2018,80.15155792
172,autotheft,2019,86.79299927
172,autotheft,2020,130.2554474
172,autotheft,2021,58.16489792
172,autotheft,2022,181.3039398
172,autotheft,2023,202.3560028
172,biketheft,2014,191.2889862
172,biketheft,2015,251.8145447
172,biketheft,2016,386.6745911
172,biketheft,2017,332.2013855
172,biketheft,2018,218.5951691
172,biketheft,2019,188.0514984
172,biketheft,2020,202.6195831
172,biketheft,2021,189.0359192
172,biketheft,2022,144.5400014
172,biketheft,2023,274.6260071
172,breakenter,2014,279.5762329
172,breakenter,2015,155.5325165
172,breakenter,2016,275.1338501
172,breakenter,2017,287.9078674
172,breakenter,2018,364.3252563
172,breakenter,2019,600.3182373
172,breakenter,2020,340.1114502
172,breakenter,2021,138.1416321
172,breakenter,2022,239.3211975
172,breakenter,2023,332.4420166
172,homicide,2014,7.35726881
172,homicide,2015,0
172,homicide,2016,0
172,homicide,2017,7.38225317
172,homicide,2018,0
172,homicide,2019,14.46549988
172,homicide,2020,7.236413479
172,homicide,2021,0
172,homicide,2022,0
172,homicide,2023,NA
172,robbery,2014,176.5744629
172,robbery,2015,140.7198944
172,robbery,2016,96.66864777
172,robbery,2017,280.5256042
172,robbery,2018,225.8816681
172,robbery,2019,101.2584991
172,robbery,2020,108.5462036
172,robbery,2021,159.9534607
172,robbery,2022,72.52157593
172,robbery,2023,151.7669983
172,shooting,2014,0
172,shooting,2015,0
172,shooting,2016,14.87209988
172,shooting,2017,0
172,shooting,2018,0
172,shooting,2019,0
172,shooting,2020,0
172,shooting,2021,14.54122448
172,shooting,2022,0
172,shooting,2023,7.227000237
172,theftfrommv,2014,294.2907715
172,theftfrommv,2015,251.8145447
172,theftfrommv,2016,364.3664551
172,theftfrommv,2017,310.0546265
172,theftfrommv,2018,597.4934692
172,theftfrommv,2019,484.5942383
172,theftfrommv,2020,484.8397217
172,theftfrommv,2021,130.8710175
172,theftfrommv,2022,202.356002
172,theftfrommv,2023,173.447998
172,theftover,2014,36.78634644
172,theftover,2015,22.2189312
172,theftover,2016,37.18024826
172,theftover,2017,22.14675903
172,theftover,2018,29.14602089
172,theftover,2019,21.69824982
172,theftover,2020,21.70923996
172,theftover,2021,14.54122448
172,theftover,2022,29.00863075
172,theftover,2023,21.68099976
171,assault,2014,655.6818848
171,assault,2015,658.6399536
171,assault,2016,684.8467407
171,assault,2017,638.5748291
171,assault,2018,627.0218506
171,assault,2019,716.8458862
171,assault,2020,661.9922485
171,assault,2021,696.6459351
171,assault,2022,539.2404175
171,assault,2023,872.7134399
171,autotheft,2014,80.89581299
171,autotheft,2015,71.31769562
171,autotheft,2016,49.50699234
171,autotheft,2017,69.14504242
171,autotheft,2018,115.8193207
171,autotheft,2019,90.59041595
171,autotheft,2020,172.3530121
171,autotheft,2021,136.9809418
171,autotheft,2022,182.3330841
171,autotheft,2023,129.5731659
171,biketheft,2014,170.3069763
171,biketheft,2015,172.0015106
171,biketheft,2016,206.2791443
171,biketheft,2017,252.1760406
171,biketheft,2018,259.5950317
171,biketheft,2019,275.7099609
171,biketheft,2020,211.5241547
171,biketheft,2021,140.8946838
171,biketheft,2022,137.195122
171,biketheft,2023,209.603653
171,breakenter,2014,157.5339508
171,breakenter,2015,192.9773102
171,breakenter,2016,169.1488953
171,breakenter,2017,207.4351196
171,breakenter,2018,363.43304440000003
171,breakenter,2019,405.6875
171,breakenter,2020,430.8825378
171,breakenter,2021,297.4443359
171,breakenter,2022,217.2479401
171,breakenter,2023,312.5
171,homicide,2014,4.257674694
171,homicide,2015,12.58547592
171,homicide,2016,0
171,homicide,2017,4.067355633
171,homicide,2018,0
171,homicide,2019,3.938713551
171,homicide,2020,0
171,homicide,2021,0
171,homicide,2022,0
171,homicide,2023,NA
171,robbery,2014,110.6995392
171,robbery,2015,125.8547668
171,robbery,2016,107.265152
171,robbery,2017,109.8185959
171,robbery,2018,71.88785553
171,robbery,2019,118.1614075
171,robbery,2020,86.17650604
171,robbery,2021,43.05115128
171,robbery,2022,77.58854675
171,robbery,2023,68.5975647
171,shooting,2014,0
171,shooting,2015,8.390317917
171,shooting,2016,4.125582695
171,shooting,2017,20.33677673
171,shooting,2018,11.98130894
171,shooting,2019,7.877427101
171,shooting,2020,19.58556938
171,shooting,2021,11.74122334
171,shooting,2022,11.63828182
171,shooting,2023,7.621951103
171,theftfrommv,2014,298.0372009
171,theftfrommv,2015,109.0741272
171,theftfrommv,2016,198.0279694
171,theftfrommv,2017,296.9169312
